"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_new_product","Sprint_1.POM.Admin","Mon Jun 23 06:29:24 GMT 2025","broken","Mon Jun 23 06:29:24 GMT 2025","TestTC","test_p3_1_new_product_positive","",""
"","868","test_registration_password_empty","Sprint_1.POM.Registration","Mon Jun 23 06:32:15 GMT 2025","passed","Mon Jun 23 06:32:15 GMT 2025","TestTC","test_registration_negative_password","",""
"","1412","test_registration_password[Teszt1!]","Sprint_1.POM.Registration","Mon Jun 23 06:32:10 GMT 2025","broken","Mon Jun 23 06:32:12 GMT 2025","TestTC","test_registration_negative_password","",""
"","1404","test_registration_password[!!!!!!!!]","Sprint_1.POM.Registration","Mon Jun 23 06:32:08 GMT 2025","broken","Mon Jun 23 06:32:09 GMT 2025","TestTC","test_registration_negative_password","",""
"","1414","test_registration_password[aaaaaaaa]","Sprint_1.POM.Registration","Mon Jun 23 06:32:04 GMT 2025","broken","Mon Jun 23 06:32:05 GMT 2025","TestTC","test_registration_negative_password","",""
"","211","test_registration_wrong_email[user.@teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:46 GMT 2025","passed","Mon Jun 23 06:31:46 GMT 2025","TestTC","test_registration_negative_email","",""
"","199","test_registration_wrong_email[user.teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:25 GMT 2025","passed","Mon Jun 23 06:31:25 GMT 2025","TestTC","test_registration_negative_email","",""
"","190","test_password_check_6","Sprint_1.POM.Registration","Mon Jun 23 06:32:37 GMT 2025","failed","Mon Jun 23 06:32:37 GMT 2025","TestTC","test_registration_positive_password","",""
"","5522","test_registration_exist_email","Sprint_1.POM.Registration","Mon Jun 23 06:31:50 GMT 2025","broken","Mon Jun 23 06:31:55 GMT 2025","TestTC","test_registration_negative_email","",""
"","5537","test_registration_password_with_space","Sprint_1.POM.Registration","Mon Jun 23 06:31:01 GMT 2025","broken","Mon Jun 23 06:31:07 GMT 2025","TestTC","test_registration_login_positive","",""
"","204","test_registration_wrong_email[user@.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:27 GMT 2025","passed","Mon Jun 23 06:31:27 GMT 2025","TestTC","test_registration_negative_email","",""
"","5573","test_purchase_process_invalid_name","Sprint_1.POM.Purchase","Mon Jun 23 06:30:23 GMT 2025","broken","Mon Jun 23 06:30:29 GMT 2025","TestTC","test_puchase_process_invalid_name","",""
"","5830","test_registration_password_with_accent","Sprint_1.POM.Registration","Mon Jun 23 06:30:55 GMT 2025","broken","Mon Jun 23 06:31:01 GMT 2025","TestTC","test_registration_login_positive","",""
"","204","test_registration_wrong_email[use r@teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:47 GMT 2025","passed","Mon Jun 23 06:31:47 GMT 2025","TestTC","test_registration_negative_email","",""
"","5565","test_purchase_process_invalid_phone","Sprint_1.POM.Purchase","Mon Jun 23 06:30:17 GMT 2025","broken","Mon Jun 23 06:30:23 GMT 2025","TestTC","test_pruchase_process_invalid_phone","",""
"","1407","test_registration_password[AAAAAAAA]","Sprint_1.POM.Registration","Mon Jun 23 06:32:06 GMT 2025","broken","Mon Jun 23 06:32:07 GMT 2025","TestTC","test_registration_negative_password","",""
"","200","test_registration_wrong_email[user@te szt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:48 GMT 2025","passed","Mon Jun 23 06:31:48 GMT 2025","TestTC","test_registration_negative_email","",""
"","550","test_registration_wrong_email[user@teszt-.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:30 GMT 2025","passed","Mon Jun 23 06:31:30 GMT 2025","TestTC","test_registration_negative_email","",""
"","288","test_login_show_password","Sprint_1.POM.Registration","Mon Jun 23 06:32:39 GMT 2025","passed","Mon Jun 23 06:32:39 GMT 2025","TestTC","test_registration_use_eye_icon","",""
"","183","test_password_check_2","Sprint_1.POM.Registration","Mon Jun 23 06:32:33 GMT 2025","passed","Mon Jun 23 06:32:33 GMT 2025","TestTC","test_registration_positive_password","",""
"","5575","test_registration","Sprint_1.POM.Registration","Mon Jun 23 06:30:49 GMT 2025","broken","Mon Jun 23 06:30:54 GMT 2025","TestTC","test_registration_login_positive","",""
"","1396","test_registration_password[Teszt1234]","Sprint_1.POM.Registration","Mon Jun 23 06:31:57 GMT 2025","broken","Mon Jun 23 06:31:58 GMT 2025","TestTC","test_registration_negative_password","",""
"","801","test_registration_long_username","Sprint_1.POM.Registration","Mon Jun 23 06:32:24 GMT 2025","passed","Mon Jun 23 06:32:25 GMT 2025","TestTC","test_registration_negative_username","",""
"","1402","test_registration_different_password","Sprint_1.POM.Registration","Mon Jun 23 06:32:12 GMT 2025","broken","Mon Jun 23 06:32:14 GMT 2025","TestTC","test_registration_negative_password","",""
"","5548","test_registration","Sprint_1.POM.Registration","Mon Jun 23 06:32:40 GMT 2025","broken","Mon Jun 23 06:32:45 GMT 2025","TestTC","test_registration_with_logged_in_user","",""
"","190","test_registration_without_email","Sprint_1.POM.Registration","Mon Jun 23 06:31:56 GMT 2025","passed","Mon Jun 23 06:31:56 GMT 2025","TestTC","test_registration_negative_email","",""
"","380","test_registration_show_password","Sprint_1.POM.Registration","Mon Jun 23 06:32:38 GMT 2025","passed","Mon Jun 23 06:32:38 GMT 2025","TestTC","test_registration_use_eye_icon","",""
"","197","test_registration_wrong_email[userteszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:26 GMT 2025","passed","Mon Jun 23 06:31:26 GMT 2025","TestTC","test_registration_negative_email","",""
"","5320","test_registration_wrong_email[user@teszt.123]","Sprint_1.POM.Registration","Mon Jun 23 06:31:37 GMT 2025","broken","Mon Jun 23 06:31:42 GMT 2025","TestTC","test_registration_negative_email","",""
"","5531","test_registration","Sprint_1.POM.Registration","Mon Jun 23 06:32:26 GMT 2025","broken","Mon Jun 23 06:32:31 GMT 2025","TestTC","test_registration_password_is_hashed","",""
"","5158","test_delete_product_yes","Sprint_1.POM.Admin","Mon Jun 23 06:29:58 GMT 2025","broken","Mon Jun 23 06:30:04 GMT 2025","TestTC","test_p3_3_delete_product","",""
"","5515","test_registration_username_with_accent","Sprint_1.POM.Registration","Mon Jun 23 06:31:14 GMT 2025","broken","Mon Jun 23 06:31:20 GMT 2025","TestTC","test_registration_login_positive","",""
"","198","test_registration_wrong_email[@teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:49 GMT 2025","passed","Mon Jun 23 06:31:49 GMT 2025","TestTC","test_registration_negative_email","",""
"","5545","test_purchase_process_invalid_zipcode","Sprint_1.POM.Purchase","Mon Jun 23 06:30:43 GMT 2025","broken","Mon Jun 23 06:30:48 GMT 2025","TestTC","test_purchase_process_invalid_zipcode","",""
"","402","test_registration_show_password","Sprint_1.POM.Registration","Mon Jun 23 06:31:20 GMT 2025","passed","Mon Jun 23 06:31:21 GMT 2025","TestTC","test_registration_login_positive","",""
"","182","test_password_check_5","Sprint_1.POM.Registration","Mon Jun 23 06:32:36 GMT 2025","passed","Mon Jun 23 06:32:36 GMT 2025","TestTC","test_registration_positive_password","",""
"","215","test_registration_wrong_email[user..random@teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:31:45 GMT 2025","passed","Mon Jun 23 06:31:45 GMT 2025","TestTC","test_registration_negative_email","",""
